MFile 1 4 384
MTrk
000:00:000 Tempo 600000
000:00:000 TimeSig 3/4 24 8
021:02:000 On  ch=1 note=a5  vol=70
021:02:192 Off ch=1 note=a5  vol=0
021:02:192 On  ch=1 note=g5  vol=70
022:00:000 Off ch=1 note=g5  vol=0
022:00:000 On  ch=1 note=f+5 vol=70
022:01:000 Off ch=1 note=f+5 vol=0
022:01:000 On  ch=1 note=g5  vol=70
022:01:192 Off ch=1 note=g5  vol=0
022:01:192 On  ch=1 note=a5  vol=70
022:02:000 Off ch=1 note=a5  vol=0
022:02:000 On  ch=1 note=b5  vol=70
022:02:192 Off ch=1 note=b5  vol=0
022:02:192 On  ch=1 note=g5  vol=70
023:00:000 Off ch=1 note=g5  vol=0
023:00:000 On  ch=1 note=a5  vol=70
024:00:000 Off ch=1 note=a5  vol=0
024:00:000 On  ch=1 note=d6  vol=70
024:01:000 Off ch=1 note=d6  vol=0
024:01:000 On  ch=1 note=g5  vol=70
024:01:192 Off ch=1 note=g5  vol=0
024:01:192 On  ch=1 note=a5  vol=70
024:02:000 Off ch=1 note=a5  vol=0
024:02:000 On  ch=1 note=b5  vol=70
024:02:192 Off ch=1 note=b5  vol=0
024:02:192 On  ch=1 note=c6  vol=70
025:00:000 Off ch=1 note=c6  vol=0
025:00:000 On  ch=1 note=d6  vol=70
025:01:000 Off ch=1 note=d6  vol=0
025:01:000 On  ch=1 note=g5  vol=70
025:01:192 Off ch=1 note=g5  vol=0
025:02:000 On  ch=1 note=g5  vol=70
025:02:192 Off ch=1 note=g5  vol=0
026:00:000 On  ch=1 note=e6  vol=70
026:01:000 Off ch=1 note=e6  vol=0
026:01:000 On  ch=1 note=c6  vol=70
026:01:192 Off ch=1 note=c6  vol=0
026:01:192 On  ch=1 note=d6  vol=70
026:02:000 Off ch=1 note=d6  vol=0
026:02:000 On  ch=1 note=e6  vol=70
026:02:192 Off ch=1 note=e6  vol=0
026:02:192 On  ch=1 note=f+6 vol=70
027:00:000 Off ch=1 note=f+6 vol=0
027:00:000 On  ch=1 note=g6  vol=70
027:01:000 Off ch=1 note=g6  vol=0
027:01:000 On  ch=1 note=g5  vol=70
027:01:192 Off ch=1 note=g5  vol=0
027:02:000 On  ch=1 note=g5  vol=70
027:02:192 Off ch=1 note=g5  vol=0
028:00:000 On  ch=1 note=c6  vol=70
028:01:000 Off ch=1 note=c6  vol=0
028:01:000 On  ch=1 note=d6  vol=70
028:01:192 Off ch=1 note=d6  vol=0
028:01:192 On  ch=1 note=c6  vol=70
028:02:000 Off ch=1 note=c6  vol=0
028:02:000 On  ch=1 note=b5  vol=70
028:02:192 Off ch=1 note=b5  vol=0
028:02:192 On  ch=1 note=a5  vol=70
029:00:000 Off ch=1 note=a5  vol=0
029:00:000 On  ch=1 note=b5  vol=70
029:01:000 Off ch=1 note=b5  vol=0
029:01:000 On  ch=1 note=c6  vol=70
029:01:192 Off ch=1 note=c6  vol=0
029:01:192 On  ch=1 note=b5  vol=70
029:02:000 Off ch=1 note=b5  vol=0
029:02:000 On  ch=1 note=a5  vol=70
029:02:192 Off ch=1 note=a5  vol=0
029:02:192 On  ch=1 note=g5  vol=70
030:00:000 Off ch=1 note=g5  vol=0
030:00:000 On  ch=1 note=a5  vol=70
030:01:000 Off ch=1 note=a5  vol=0
030:01:000 On  ch=1 note=b5  vol=70
030:01:192 Off ch=1 note=b5  vol=0
030:01:192 On  ch=1 note=a5  vol=70
030:02:000 Off ch=1 note=a5  vol=0
030:02:000 On  ch=1 note=g5  vol=70
030:02:192 Off ch=1 note=g5  vol=0
030:02:192 On  ch=1 note=f+5 vol=70
031:00:000 Off ch=1 note=f+5 vol=0
031:00:000 On  ch=1 note=g5  vol=70
032:00:000 Off ch=1 note=g5  vol=0
032:00:000 Meta TrkEnd
TrkEnd
MTrk
000:00:000 Meta TrkName "Voz 2"
000:00:000 ProgCh ch=2 prog=0
000:00:000 On  ch=2 note=g4  vol=70
000:02:000 Off ch=2 note=g4  vol=0
000:02:000 On  ch=2 note=a4  vol=70
001:00:000 Off ch=2 note=a4  vol=0
001:00:000 On  ch=2 note=b4  vol=70
002:00:000 Off ch=2 note=b4  vol=0
002:00:000 On  ch=2 note=c5  vol=70
003:00:000 Off ch=2 note=c5  vol=0
003:00:000 On  ch=2 note=b4  vol=70
004:00:000 Off ch=2 note=b4  vol=0
004:00:000 On  ch=2 note=a4  vol=70
004:02:000 Off ch=2 note=a4  vol=0
004:02:000 On  ch=2 note=f+4 vol=70
005:00:000 Off ch=2 note=f+4 vol=0
005:00:000 On  ch=2 note=g4  vol=70
005:02:000 Off ch=2 note=g4  vol=0
005:02:000 On  ch=2 note=c5  vol=70
006:00:000 Off ch=2 note=c5  vol=0
006:00:000 On  ch=2 note=d5  vol=70
006:00:192 Off ch=2 note=d5  vol=0
006:01:000 On  ch=2 note=b4  vol=70
006:01:192 Off ch=2 note=b4  vol=0
006:02:000 On  ch=2 note=g4  vol=70
006:02:192 Off ch=2 note=g4  vol=0
007:00:000 On  ch=2 note=d5  vol=70
007:01:000 Off ch=2 note=d5  vol=0
007:01:000 On  ch=2 note=d4  vol=70
007:01:192 Off ch=2 note=d4  vol=0
007:01:192 On  ch=2 note=c5  vol=70
007:02:000 Off ch=2 note=c5  vol=0
007:02:000 On  ch=2 note=b4  vol=70
007:02:192 Off ch=2 note=b4  vol=0
007:02:192 On  ch=2 note=a4  vol=70
008:00:000 Off ch=2 note=a4  vol=0
008:00:000 On  ch=2 note=b4  vol=70
008:02:000 Off ch=2 note=b4  vol=0
008:02:000 On  ch=2 note=a4  vol=70
009:00:000 Off ch=2 note=a4  vol=0
009:00:000 On  ch=2 note=g4  vol=70
009:01:000 Off ch=2 note=g4  vol=0
009:01:000 On  ch=2 note=b4  vol=70
009:01:192 Off ch=2 note=b4  vol=0
009:02:000 On  ch=2 note=g4  vol=70
009:02:192 Off ch=2 note=g4  vol=0
010:00:000 On  ch=2 note=c5  vol=70
011:00:000 Off ch=2 note=c5  vol=0
011:00:000 On  ch=2 note=b4  vol=70
011:01:000 Off ch=2 note=b4  vol=0
011:01:000 On  ch=2 note=c5  vol=70
011:01:192 Off ch=2 note=c5  vol=0
011:01:192 On  ch=2 note=b4  vol=70
011:02:000 Off ch=2 note=b4  vol=0
011:02:000 On  ch=2 note=a4  vol=70
011:02:192 Off ch=2 note=a4  vol=0
011:02:192 On  ch=2 note=g4  vol=70
012:00:000 Off ch=2 note=g4  vol=0
012:00:000 On  ch=2 note=a4  vol=70
012:02:000 Off ch=2 note=a4  vol=0
012:02:000 On  ch=2 note=f+4 vol=70
013:00:000 Off ch=2 note=f+4 vol=0
013:00:000 On  ch=2 note=g4  vol=70
013:02:000 Off ch=2 note=g4  vol=0
013:02:000 On  ch=2 note=b4  vol=70
014:00:000 Off ch=2 note=b4  vol=0
014:00:000 On  ch=2 note=c5  vol=70
014:00:192 Off ch=2 note=c5  vol=0
014:01:000 On  ch=2 note=d5  vol=70
014:01:192 Off ch=2 note=d5  vol=0
014:02:000 On  ch=2 note=d4  vol=70
014:02:192 Off ch=2 note=d4  vol=0
015:00:000 On  ch=2 note=g4  vol=70
015:02:000 Off ch=2 note=g4  vol=0
015:02:000 On  ch=2 note=g3  vol=70
016:00:000 Off ch=2 note=g3  vol=0
016:00:000 Meta TrkEnd
TrkEnd
MTrk
000:00:000 Meta TrkName "Voz 3"
000:00:000 ProgCh ch=3 prog=0
000:00:000 On  ch=3 note=b4  vol=70
001:00:000 Off ch=3 note=b4  vol=0
001:00:000 Meta TrkEnd
TrkEnd
